1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.13964,-2.063063,-1.581081,-2.121622,-2.585586,-1.959459,-2.31982,-1.621622,-1.472973,-1.864865,-2.094595,-2.126126,-1.873874,-2.328829,-1.855856,-0.954955,-1.220721,-3.720721,-2.504505,-1.310811
-0.360595,-0.111524,-0.851301,-0.527881,-2.208178,-0.141264,0.133829,-0.453532,-0.873606,-1.643123,-0.892193,-0.501859,-0.869888,-1.535316,-0.609665,-0.137546,-0.814126,-1.843866,-1.315985,-1.174721
-0.535088,-1.184211,-1.210526,-1.77193,-1.574561,-1.153509,-1.548246,-1.649123,-1.403509,-0.508772,-0.54386,-1.153509,-0.434211,-0.714912,-1.820175,-0.513158,-0.324561,-1.52193,-0.710526,-0.333333
-0.601124,-0.719101,-0.511236,-1.134831,-1.786517,-0.269663,-0.38764,-1.730337,-0.994382,-1.185393,-1.11236,-0.140449,-0.730337,-1.269663,-1.348315,-0.191011,-0.264045,-2.157303,-1.073034,-0.97191
-0.23301,0.038835,-0.970874,-1.38835,-1.417476,-0.194175,-0.524272,-1.15534,-1.242718,-1.300971,-1.048544,-0.194175,-0.786408,-1.660194,-0.407767,-0.203883,-0.436893,-2.291262,-1.582524,-1.07767
-1.129032,-1.548387,-1.66129,-2.483871,-1.854839,-1.209677,-1.693548,-2.354839,-1.225806,-0.66129,-0.387097,-1.741935,-0.306452,-0.225806,-2.241935,-1.064516,-0.467742,-1.677419,-0.370968,-0.709677
-1.957333,-2.08,-1.8,-2.48,-3.290667,-1.933333,-2.418667,-2.656,-2.346667,-1.792,-2.317333,-2.162667,-2.397333,-2.338667,-2.669333,-1.474667,-1.477333,-3.570667,-2.157333,-1.706667
-1.927746,-1.705202,-1.34104,-1.979769,-3.343931,-1.352601,-1.855491,-2.361272,-1.66474,-2.647399,-2.205202,-1.592486,-1.893064,-2.563584,-3.132948,-1.150289,-1.355491,-3.265896,-1.947977,-2.33815
-0.466258,-1.714724,-0.556748,-0.943252,-3.015337,-1.292945,-1.266871,-1.584356,-1.72546,-0.757669,-0.659509,-1.559816,-0.797546,-1.352761,-1.792945,-0.578221,-0.046012,-3.078221,-1.631902,-0.418712
0.126214,-2.640777,-2.15534,-2.61165,-3.834951,-1.582524,-2.349515,-1.902913,-2.650485,-1.970874,-1.990291,-1.446602,-0.980583,-2.854369,-2.815534,-1.194175,-1.398058,-3.84466,-2.61165,-1.961165
-0.403275,-1.556807,-0.215967,-1.001024,-2.552712,-0.896622,-0.876151,-1.181167,-0.924258,-1.493347,-1.741044,-1.559877,-1.285568,-2.156602,0.374616,1.121801,1.731832,-3.409417,-2.109519,-1.006141
-0.378641,-0.76699,-1.184466,-1.582524,-2.893204,-0.446602,-0.980583,-1.533981,-1.106796,-1.407767,-1.514563,-0.669903,-0.970874,-2.203883,-0.223301,-0.135922,-0.456311,-3.174757,-2.135922,-1.262136
-0.786164,-0.718553,-0.869497,-1.281447,-2.323899,-0.792453,-1.147799,-1.599057,-0.216981,-1.544025,-1.577044,-0.83805,-1.275157,-1.954403,-0.652516,0.16195,-0.529874,-3.259434,-1.929245,-1.455975
-0.783282,-0.922601,-0.851393,-1.377709,-0.343653,-0.637771,-0.820433,-1.541796,-0.659443,-0.628483,-0.572755,-0.560372,-0.157895,-0.4613,-1.390093,-0.393189,-0.452012,-1.01548,-0.678019,-0.755418
-0.514986,-0.811989,-0.542234,-0.961853,-1.659401,-0.089918,-0.697548,-1.286104,-0.444142,-1.226158,-1.356948,-0.959128,-0.604905,-1.686649,-0.256131,-0.092643,-0.343324,-2.634877,-1.043597,-1.051771
-0.666667,-0.770115,-0.942529,-1.126437,-1.954023,-0.425287,-0.804598,-1.321839,-1.126437,-1.195402,-0.931034,-0.551724,-0.321839,-1.551724,-1.793103,-0.114943,-0.62069,-2.298851,-1.402299,-1.045977
-0.750779,-1.152648,-1.601246,-1.694704,-2.576324,-1.124611,-1.280374,-1.573209,-0.766355,-1.70405,-1.76947,-1.694704,-1.006231,-1.785047,-1.925234,-1.071651,-1.077882,-2.610592,-2.109034,-1.4081
-1.314815,-0.398148,-1.87963,-2.435185,-2.203704,-1.638889,-1.944444,-1.777778,-1.731481,-1.814815,-2.12037,-1.138889,-1.601852,-2.888889,-2.648148,-1.351852,-1.268519,-3.611111,-2.333333,-1.574074
-0.57976,-1.072041,-1.727273,-2.150943,-1.51801,-1.41681,-1.975986,-1.687822,-1.276158,-0.48199,-0.471698,-1.655232,-0.277873,-0.48199,-1.969125,-0.936535,-0.780446,-0.943396,-0.67753,-0.399657
-0.09901,-1.029703,-1.237624,-1.524752,-1.544554,-0.742574,-1.079208,-0.950495,-1.683168,-0.980198,-0.930693,-1.019802,-0.980198,-1.366337,-0.455446,-0.287129,-0.217822,-2.029703,-1.356436,-0.544554
-1.268781,-2.395659,-2.913189,-3.410684,-4.353923,-2.292154,-2.831386,-3.016694,-3.025042,-1.69783,-1.782972,-2.906511,-1.552588,-2.63773,-4.105175,-1.868114,-1.734558,-4.081803,-3.033389,-1.565943
-2.046549,-2.807384,-2.826645,-3.133226,-2.76886,-2.797753,-3.455859,-2.895666,-2.841091,-2.842697,-3.075441,-2.94382,-3.383628,-3.857143,-4.651685,-1.208668,-1.609952,-4.060995,-3.797753,-2.544141
0.808333,-1.025,-0.341667,-0.891667,-1.558333,-0.541667,-0.75,0.141667,-1.325,-1.233333,-1.325,-0.908333,-0.958333,-1.658333,-0.95,0.541667,0.425,-2.083333,-1.491667,-0.675
-0.381579,-0.217105,-1.019737,-0.907895,-2.171053,-0.210526,-0.552632,-0.815789,-1.131579,-1.657895,-0.598684,-0.888158,-0.756579,-1.532895,-0.5,0.046053,-0.703947,-1.980263,-1.677632,-1.269737
-1.33463,-2.420233,-2.708171,-3.058366,-3.719844,-2.435798,-2.361868,-3.638132,-2.673152,-1.883268,-2.315175,-2.428016,-2.007782,-3.447471,-4.365759,-1.797665,-1.649805,-5.36965,-3.40856,-1.797665
-0.708333,-3.46131,-2.994048,-4.21131,-3.098214,-3.142857,-3.955357,-1.973214,-3.946429,-0.574405,-1.142857,-3.443452,-0.77381,-1.699405,-3.967262,-1.645833,-1.428571,-3.511905,-2.681548,-0.633929
0.042254,-1.169014,-0.84507,-1.380282,-1.352113,-0.492958,-0.788732,-0.873239,-0.957746,-1.619718,-1.633803,-0.704225,-1.056338,-1.676056,-1.225352,0,-0.352113,-2.380282,-1.098592,-1.056338
-0.898058,-2.480583,-2.601942,-2.883495,-3.160194,-2.555825,-2.283981,-3.009709,-2.830097,-2.084951,-2.339806,-2.371359,-1.992718,-2.699029,-3.123786,-1.752427,-1.893204,-4.308252,-2.774272,-1.968447
-0.328488,-0.877907,-1.226744,-1.113372,-0.962209,-1,-1.011628,-1.229651,-0.523256,-1.156977,-1.386628,-1.581395,-0.636628,-1.203488,-1.125,-0.796512,-0.659884,-1.19186,-1.119186,-0.982558
-1.172222,-0.919444,-0.780556,-1.002778,-0.833333,-0.430556,-1.041667,-1.330556,-0.083333,-1.891667,-1.477778,-1.313889,-0.788889,-1.669444,-0.833333,-0.130556,-0.880556,-2.836111,-1.502778,-1.672222
-0.730769,-0.702797,-1.458042,-1.160839,-2.01049,-0.818182,-0.678322,-1.807692,-0.482517,-1.384615,-1.227273,-1.122378,-1.202797,-1.171329,-1.702797,-1.230769,-1.01049,-1.265734,-1.276224,-1.339161
-1.086283,-0.955752,-0.464602,-0.878319,-1.705752,-0.840708,-1.212389,-1.533186,-0.674779,-0.827434,-1.283186,-1.119469,-0.707965,-0.778761,-1.272124,-0.488938,-0.462389,-1.263274,-0.382743,-0.767699
-0.987277,-2.139949,-2.29771,-2.603053,-2.666667,-2.21374,-2.071247,-2.160305,-2.246819,-1.826972,-2.094148,-2.05598,-1.811705,-2.882952,-2.638677,-1.473282,-1.465649,-3.656489,-2.608142,-1.687023
-1.602564,-3.470085,-2.683761,-3.25641,-3.474359,-2.717949,-2.700855,-3.299145,-3.25641,-2.076923,-2.683761,-2.440171,-2.863248,-3.367521,-4.183761,-2.034188,-2.491453,-4.91453,-3.581197,-2.162393
-0.589888,-1.123596,-1.775281,-1.870787,-2.162921,-1.511236,-1.275281,-1.640449,-1.264045,-1.393258,-1.449438,-1.573034,-1.174157,-1.842697,-1.814607,-1.117978,-0.994382,-2.88764,-2.196629,-1.11236
-1.321033,-0.793358,-0.804428,-0.859779,-1.095941,-0.616236,-0.542435,-1.594096,-0.431734,-1.350554,-1.697417,-0.774908,-0.741697,-1.391144,-0.99262,-0.738007,-0.885609,-1.678967,-1.147601,-1.143911
-0.438525,-0.748634,-0.715847,-0.989071,-1.418033,0.023224,-0.392077,-1.114754,-0.617486,-1.435792,-1.034153,-0.734973,-0.953552,-1.766393,-0.001366,0.137978,-0.398907,-2.386612,-1.68306,-1.131148
0.155251,-0.054795,-1.452055,-0.744292,-1.43379,-0.771689,-0.538813,-1.057078,-0.173516,-1.045662,-0.639269,-1.53653,-0.646119,-1.050228,-0.917808,-0.757991,-0.625571,-0.675799,-0.915525,-0.618721
-0.683374,-0.341076,-0.312958,-0.424205,-0.913203,-0.037897,-0.03912,-1.452323,-0.074572,-0.853301,-0.782396,-0.310513,-0.333741,-1.177262,-0.856968,0.229829,-0.343521,-2.152812,-1,-0.839853
-1.030211,-0.743202,-0.58006,0.039275,-2.178248,-0.561934,0.036254,-1.486405,0.34139,-1.175227,-1.141994,-0.371601,-0.108761,-0.848943,-1.63142,-0.794562,-0.94864,-1.277946,-0.885196,-1.199396
-0.873016,-0.277778,-0.97619,-1.666667,-1.325397,-0.730159,-0.777778,-1.793651,-0.515873,-1.888889,-1.746032,-0.619048,-1.111111,-2.079365,-1.103175,-0.007937,-0.833333,-3.15873,-2.007937,-1.571429
-1.094955,-2.35905,-2.222552,-2.575668,-2.976261,-2.379822,-2.195846,-2.949555,-2.560831,-1.84273,-2.026706,-2.10089,-1.866469,-2.816024,-3.58457,-1.893175,-1.646884,-4.456973,-2.759644,-1.522255
-0.032184,-3.370115,-3.172414,-4.075862,-2.986207,-3.264368,-3.521839,-1.675862,-3.445977,-0.278161,-0.650575,-3.257471,-0.804598,-1.018391,-3.252874,-1.112644,-1.041379,-2.850575,-2.271264,-0.266667
-0.378641,-2.365696,-2.812298,-2.809061,-2.938511,-2.275081,-2.456311,-2.543689,-2.220065,-1.987055,-1.925566,-2.825243,-1.595469,-2.92233,-3.33657,-1.906149,-1.656958,-4.055016,-2.938511,-1.411003
-0.624352,-1.880829,-1.831606,-2.251295,-2.341969,-1.722798,-1.554404,-2.393782,-1.735751,-1.082902,-1.34456,-1.717617,-1.316062,-2.049223,-2.65285,-1,-1.227979,-3.380829,-1.800518,-1.256477
-1.265823,-2.090717,-2.274262,-2.42616,-2.270042,-2.118143,-1.852321,-2.550633,-1.867089,-1.729958,-1.521097,-2.063291,-1.35865,-1.981013,-2.43038,-1.118143,-1.672996,-3.238397,-2.818565,-1.413502
-0.634848,-0.854545,-0.509091,-0.565152,-1.675758,-0.290909,-0.242424,-1.809091,-0.928788,-0.533333,-0.351515,-0.624242,-0.592424,-1.163636,-1.204545,-0.309091,-0.3,-2.227273,-1.031818,-0.663636
-0.60781,-0.806452,-0.225806,-0.26146,-0.803056,-0.14601,-0.079796,-1.108659,-0.11545,-1.494058,-1.191851,-0.957555,-0.95416,-1.40747,-0.322581,0.606112,-0.242784,-2.692699,-1.074703,-1.147708
-0.682927,-0.420732,-0.795732,-1.088415,-2.015244,-0.307927,-0.463415,-1.72561,-1.146341,-1.158537,-0.939024,-0.314024,-0.72561,-1.518293,-1.289634,-0.381098,-0.378049,-2.539634,-1.493902,-1.106707
0.425,-0.391667,-0.9,-1.233333,-1.866667,-0.275,-0.516667,-0.675,-1.05,-1.85,-1.625,-0.541667,-1.025,-2.133333,-0.241667,-0.15,-0.608333,-2.458333,-1.725,-1.175
-1.008163,-1.618367,0.212245,-0.540816,-1.67551,-0.328571,-0.712245,-1.402041,-0.569388,-1.659184,-1.281633,-1.367347,-0.908163,-1.463265,-0.406122,0.640816,-0.528571,-2.57551,-1.797959,-1.791837
-0.169065,-0.298561,-0.68705,-0.769784,-1.269784,-0.02518,-0.266187,-1.31295,-0.352518,-1.115108,-0.967626,-0.26259,-0.201439,-1.453237,-1.600719,-0.107914,-0.510791,-2.316547,-1.338129,-0.996403
-0.342268,-0.571134,-0.690722,-0.793814,-0.276289,-0.284536,-0.521649,-1.294845,-0.117526,-1.002062,-0.816495,-0.665979,-0.336082,-0.96701,-0.826804,-0.08866,-0.369072,-1.486598,-0.859794,-0.717526
-1.28169,-1.380282,-1.267606,-0.915493,-3.169014,-1.028169,-0.746479,-2.816901,-0.915493,-2.28169,-1.802817,-1.070423,-1.464789,-1.633803,-2.577465,-0.915493,-1.309859,-2.957746,-1.056338,-2.239437
-0.821138,-0.373984,-0.565041,-0.47561,-2.479675,0.284553,0.528455,-1.394309,-0.569106,-2.296748,-2.097561,-0.288618,-1.658537,-3.873984,-0.784553,0.117886,0.373984,-4.134146,-2.910569,-1.357724
-2.470588,-0.840336,-0.672269,-1.957983,-2.142857,-1.159664,-1.890756,-2.697479,-0.621849,-1.411765,-2.268908,-0.537815,-1.462185,-1.781513,-2.563025,-1.529412,-0.932773,-2,-0.94958,-1.630252
-1.279743,-2.028939,-2.418006,-2.421222,-2.903537,-2.26045,-2.128617,-2.842444,-2.106109,-1.945338,-1.839228,-2.266881,-1.411576,-2.533762,-3.263666,-1.578778,-1.784566,-3.73955,-2.575563,-1.839228
-1.829653,-2.009464,-2.373817,-2.529968,-1.011041,-2.162461,-2.130915,-3.274448,-1.641956,-2.15142,-1.859621,-2.487382,-1.637224,-2.375394,-3.716088,-1.230284,-1.712934,-4.171924,-2.392744,-1.630915
-0.58,-0.553333,-0.49,-1.03,-1.65,-0.743333,-1.29,-1.363333,-0.553333,-0.773333,-1.01,-1.32,-0.47,-0.876667,-1.386667,-0.58,-0.373333,-0.643333,-0.63,-0.723333
-1.930412,-1.998711,-1.806701,-2.055412,-3.01933,-2.043814,-2.324742,-1.706186,-1.829897,-3.018041,-2.846649,-2.907216,-2.837629,-3.229381,-3.096649,-1.032216,-1.859536,-3.195876,-2.635309,-2.088918
